feature_1,feature_2,feature_3,label
6.394,0.25,-2.25,negative
6.767,8.922,-4.131,positive
4.219,0.298,-2.814,negative
1.988,6.499,0.449,negative
2.204,5.893,3.094,negative
6.981,3.403,-3.445,positive
9.572,3.366,-4.073,positive
6.037,8.071,2.297,positive
5.362,9.731,-1.215,negative
6.185,8.617,0.774,positive
7.046,0.458,-2.721,negative
2.328,1.01,-2.22,negative
6.357,3.648,-1.298,positive
9.367,6.48,1.091,positive
1.711,7.291,-3.366,negative
6.4,5.569,1.846,positive
8.429,7.76,-2.71,positive
2.677,2.11,4.429,negative
8.764,3.147,1.554,negative
4.589,2.649,-2.534,positive
5.614,2.627,0.846,negative
2.193,9.975,0.095,negative
0.909,0.471,-3.904,negative
4.222,0.635,-1.184,negative
9.961,5.291,4.711,positive
7.207,6.817,0.37,positive
2.668,6.41,-3.884,negative
9.538,8.759,-2.366,positive
5.006,1.787,4.126,negative
6.389,6.09,-3.472,positive
7.625,5.394,2.786,positive
3.242,0.195,4.291,negative
8.787,8.317,-1.925,positive
9.469,0.857,-0.14,positive
0.692,7.606,2.658,negative
5.498,2.651,3.724,negative
4.231,2.118,0.393,negative
3.117,9.951,1.499,negative
4.381,5.176,-3.79,positive
5.883,2.301,-2.798,positive
0.71,6.311,-2.711,negative
0.709,2.38,1.69,negative
2.142,1.323,4.355,negative
7.846,8.075,-3.096,positive
0.969,4.311,-0.764,negative
6.734,9.842,-4.016,positive
4.026,3.393,3.617,negative
4.486,4.219,-2.215,positive
2.498,9.233,-0.569,positive
0.506,9.993,3.36,negative
9.69,9.264,3.487,positive
2.137,4.01,-4.414,negative
3.79,9.853,-2.348,positive
4.23,9.573,4.954,negative
5.558,7.184,-3.452,positive
5.792,5.422,2.48,positive
0.572,5.842,0.029,negative
9.608,0.801,-3.142,positive
5.95,6.752,-2.648,positive
2.462,5.945,1.194,negative
4.192,5.837,0.228,negative
7.162,2.387,-1.042,negative
6.717,3.0,-1.838,positive
4.583,9.985,4.961,negative
0.733,2.132,-2.348,negative
8.793,3.695,-3.423,positive
8.337,7.035,1.117,positive
0.078,8.171,-2.006,negative
6.634,9.389,-3.657,positive
5.532,2.723,1.048,negative
7.176,2.036,1.342,negative
9.053,8.461,-4.077,positive
4.236,2.767,-4.965,negative
2.62,7.412,0.517,negative
4.277,0.097,-4.248,positive
5.456,8.346,0.825,negative
1.481,1.274,-1.917,negative
8.607,8.989,-2.899,positive
2.495,1.028,2.801,negative
6.207,1.546,4.299,negative
8.646,9.762,3.108,positive
7.366,3.322,4.308,negative
8.022,8.641,3.107,positive
1.081,8.722,3.586,negative
2.224,8.166,-0.397,negative
2.276,0.237,-3.069,negative
3.283,8.644,4.669,negative
3.997,9.811,0.362,positive
9.392,1.153,4.704,positive
2.655,1.084,-0.654,negative
7.285,3.137,1.062,negative
5.766,2.547,2.088,negative
0.017,9.256,0.385,negative
6.706,3.642,-4.3,negative
6.642,3.302,-1.861,positive
3.003,3.093,-0.916,negative
4.024,2.957,-3.727,negative
6.773,9.028,1.155,positive
3.009,5.479,-4.996,negative
5.8,6.547,-0.35,positive
4.422,2.137,-0.268,positive
1.697,0.848,0.155,negative
6.329,3.352,3.184,negative
2.246,1.991,-4.756,negative
2.448,4.751,3.497,negative
6.298,1.944,1.964,negative
4.944,2.44,1.561,positive
7.7,1.066,-0.749,positive
1.759,9.58,0.18,negative
8.483,4.565,3.014,positive
6.676,9.879,0.955,positive
6.127,7.193,0.048,positive
8.306,5.479,3.972,positive
2.592,2.472,1.377,negative
7.658,5.213,1.267,positive
2.857,2.717,-1.803,negative
5.402,1.384,-2.687,negative
0.642,4.076,0.426,negative
4.158,2.068,-0.799,negative
6.955,8.567,2.656,positive
3.804,0.059,-1.482,negative
9.534,4.19,2.475,negative
5.461,6.033,-2.795,positive
0.29,3.361,1.791,negative
4.043,1.65,-0.326,negative
0.27,3.94,0.644,negative
0.271,6.427,-3.643,negative
3.791,2.117,-1.732,negative
7.612,3.791,2.52,positive
0.819,0.194,0.394,negative
9.999,3.5,1.501,positive
7.542,9.496,-3.006,positive
0.204,1.524,-3.738,negative
2.18,6.995,2.669,negative
1.678,6.072,2.479,negative
9.647,1.081,-4.743,positive
3.12,6.773,4.582,negative
0.76,6.906,1.272,negative
1.019,7.725,3.503,negative
9.838,7.826,-1.528,positive
4.284,3.706,0.06,negative
8.223,1.055,4.608,positive
6.356,8.287,2.073,negative
9.655,2.701,3.082,positive
5.382,4.835,-0.644,negative
8.517,8.307,-4.133,positive
8.816,2.439,-0.353,positive
0.287,8.51,-3.182,negative
2.121,7.978,-1.597,positive
2.763,0.102,4.481,negative
0.856,7.201,-0.114,negative
6.459,4.908,2.929,negative
0.931,2.216,1.918,negative
4.733,5.309,-0.745,positive
7.459,3.308,2.029,negative
1.207,1.926,-3.804,negative
5.359,7.622,-3.149,positive
7.246,9.766,0.246,positive
2.83,1.005,-3.059,negative
0.141,5.341,-2.257,negative
9.743,5.534,1.974,positive
4.909,8.727,0.741,positive
4.694,4.405,-3.156,positive
4.777,8.221,-0.993,positive
0.741,6.294,-4.464,negative
3.038,9.939,-3.815,positive
7.644,6.063,2.907,positive
4.505,4.427,3.602,negative
9.9,3.054,1.21,positive
9.476,2.078,-2.89,positive
6.604,1.571,-3.262,positive
4.505,5.938,-2.087,negative
2.315,7.07,2.03,negative
9.239,7.878,1.251,positive
6.612,9.337,-0.749,positive
9.084,8.266,-4.286,positive
1.659,3.076,2.49,negative
1.244,6.887,1.997,negative
9.427,5.005,-0.062,positive
4.32,3.223,-2.496,negative
0.913,9.619,3.36,negative
9.996,6.723,-2.305,positive
0.402,7.563,-0.295,negative
1.815,5.853,1.348,negative
4.917,0.912,-1.52,negative
8.577,3.298,1.937,positive
2.882,9.452,3.136,negative
3.145,3.233,4.702,negative
4.042,5.146,4.881,negative
4.132,1.876,-1.382,negative
7.564,6.254,2.6,positive
9.277,4.381,1.983,positive
1.214,9.731,1.089,negative
5.508,5.523,-4.068,positive
9.923,9.129,-0.386,positive
4.984,7.166,0.089,positive
2.734,8.347,4.802,negative
3.836,9.219,0.082,positive
8.793,8.64,-2.238,positive
9.342,5.077,3.205,positive
