feature_1,feature_2,feature_3,target
6.477,-6.983,3.255,42.011
7.314,-8.84,2.537,43.46
0.75,-1.327,0.349,8.456
16.537,-7.524,1.116,71.409
12.549,8.954,2.886,30.234
0.932,7.169,1.448,4.169
2.885,-7.644,1.542,23.374
11.632,2.778,1.862,38.792
10.955,-8.744,0.298,51.082
8.552,-3.717,2.928,46.06
9.064,-4.005,3.972,43.531
11.488,0.504,4.376,45.515
14.589,-4.241,4.901,69.022
15.143,-6.96,2.445,69.055
0.784,3.364,3.823,-0.967
6.275,3.906,2.972,19.603
11.598,-0.876,4.2,54.308
13.283,-8.787,3.507,62.504
12.943,9.862,4.11,40.834
13.373,-9.549,2.308,66.737
3.361,-7.658,0.295,21.784
4.952,-2.181,4.357,26.572
1.612,-1.016,2.747,17.855
17.28,-4.432,2.076,65.001
7.175,7.684,4.789,26.922
4.639,-5.333,2.425,29.509
11.782,-4.745,0.02,43.618
11.327,9.062,3.452,37.546
10.31,2.352,3.381,48.111
15.599,7.49,3.989,56.44
7.848,-2.02,0.518,29.975
1.347,-5.825,0.812,12.257
6.801,-8.948,0.001,35.619
7.272,-9.49,4.372,47.09
12.281,-7.029,1.261,51.754
2.457,6.979,4.966,13.273
9.32,-0.323,0.429,36.8
5.295,6.577,0.807,14.448
0.462,9.02,2.641,-0.896
0.541,0.562,4.893,14.992
17.267,3.924,1.306,56.719
15.439,0.652,3.895,62.841
6.593,-5.539,4.058,45.631
16.122,6.367,3.699,55.444
4.535,0.353,1.778,19.941
5.588,-4.817,3.463,32.437
19.13,-1.055,4.685,87.525
7.293,-5.591,1.134,33.755
3.934,-5.913,3.12,33.313
9.589,3.06,3.998,33.393
1.696,3.212,4.549,12.522
9.561,-6.43,3.946,42.546
6.65,6.016,4.858,22.557
18.936,4.496,0.85,65.048
2.541,-6.977,4.524,27.096
16.53,9.606,3.286,50.791
7.008,0.973,0.655,35.266
12.993,0.532,4.668,55.124
8.676,7.435,4.131,30.444
5.859,-5.189,2.932,35.553
5.187,-1.62,0.655,24.565
9.163,1.667,4.521,37.11
8.413,8.354,2.508,19.663
0.374,-1.198,0.916,3.611
0.079,5.983,0.862,-11.519
11.13,-3.48,2.592,49.381
11.109,5.685,0.531,30.312
5.538,5.445,2.539,16.809
11.235,5.2,4.562,37.045
10.111,0.243,3.464,43.948
9.047,0.666,2.39,41.431
17.531,8.844,1.298,51.114
11.19,8.865,4.2,38.254
8.842,-8.549,1.203,45.158
1.462,3.389,3.92,10.739
14.322,3.205,0.715,46.314
17.657,9.351,1.098,56.628
9.745,9.797,4.162,29.49
3.229,-1.37,2.578,16.699
6.371,4.443,0.097,19.398
11.081,-1.191,0.09,37.652
10.245,-8.714,4.925,61.041
15.767,9.434,0.524,44.801
15.58,-4.591,0.648,62.467
8.445,8.228,4.095,27.751
18.383,1.412,3.502,71.922
1.789,-8.849,3.441,22.379
18.767,2.689,4.008,71.175
1.675,7.125,0.333,0.841
6.783,1.061,4.633,28.393
5.357,-7.416,2.635,33.059
3.229,-8.992,1.009,26.031
6.24,-3.9,3.797,32.944
3.558,-3.06,0.091,20.87
5.009,-9.693,3.665,34.033
9.495,8.693,0.531,23.046
16.378,-1.356,2.475,65.927
10.134,3.755,4.912,37.341
6.854,6.646,3.534,20.406
6.951,-8.912,0.649,33.248
1.414,4.818,1.278,2.595
16.825,7.411,3.353,58.137
5.639,-5.156,1.465,26.587
8.916,-4.735,4.809,47.096
19.452,0.941,1.222,72.76
7.132,-9.979,1.908,40.016
9.493,0.055,1.005,34.771
5.283,-8.205,1.998,32.321
0.833,-9.55,1.521,17.99
10.584,5.011,3.288,42.885
14.32,7.582,1.948,39.593
2.989,4.483,3.216,21.783
0.876,6.706,4.46,-0.595
16.244,-7.214,2.619,66.08
10.087,6.699,4.023,37.759
17.857,3.658,3.467,60.345
4.599,-9.377,0.665,27.472
16.716,1.171,3.139,64.825
12.525,3.613,2.446,51.543
14.965,0.059,2.676,57.808
13.186,-8.679,3.684,63.912
5.311,4.587,1.026,16.709
14.797,9.515,2.47,41.932
13.674,5.339,3.085,50.695
12.855,-8.451,0.737,56.444
6.088,1.355,0.062,26.4
1.213,-4.625,3.36,14.383
5.817,0.331,2.323,18.997
9.327,-7.63,4.468,54.204
18.725,-9.65,2.295,92.21
16.398,9.362,2.247,50.332
18.912,-5.786,2.907,81.676
2.835,0.481,4.764,23.857
10.175,7.737,3.517,38.846
4.628,7.954,2.431,11.85
9.834,-0.985,1.51,38.674
2.814,-3.121,1.58,16.881
15.015,6.782,0.6,45.415
18.528,4.26,4.508,67.796
7.858,9.976,2.946,25.163
7.214,-1.439,1.376,31.496
16.694,-4.288,4.678,73.484
4.986,-4.685,2.555,29.61
19.123,7.685,4.06,69.423
12.618,8.268,4.703,37.572
0.99,4.647,2.254,0.455
15.053,2.89,1.431,60.796
2.546,-0.556,1.718,15.785
5.955,4.781,4.881,24.494
6.017,1.146,1.972,29.46
3.347,-6.767,1.039,25.808
4.401,8.125,4.982,13.005
8.999,-7.208,0.962,45.151
1.822,-5.217,1.292,17.196
11.392,7.745,3.748,34.545
10.483,-2.463,1.691,45.182
1.241,-4.45,4.838,22.688
12.593,7.257,1.08,40.892
5.42,-5.031,1.999,19.65
16.974,7.458,0.109,53.989
0.645,4.19,4.478,0.94
0.004,-2.17,4.634,12.775
16.512,7.109,4.861,59.002
3.088,0.447,3.41,19.014
18.83,4.435,3.237,67.468
11.03,-9.209,3.911,53.074
4.652,8.398,3.228,11.966
5.036,2.726,3.493,23.316
2.243,-8.593,2.622,19.967
4.472,2.021,0.052,11.358
6.03,-0.786,4.795,26.534
9.506,-5.305,1.235,35.563
19.212,4.093,1.537,70.059
13.489,-1.6,1.286,52.345
13.347,8.503,1.134,42.329
8.411,3.651,0.99,27.81
15.941,4.783,2.524,58.041
6.234,6.4,1.154,26.617
4.429,5.209,1.475,16.67
3.746,-5.534,2.085,22.529
13.306,8.975,0.732,35.094
19.482,-7.162,0.259,79.017
1.203,-2.134,4.491,20.589
19.951,8.632,1.646,58.422
3.71,8.718,3.732,15.78
7.572,-2.522,1.658,34.021
3.385,-9.943,1.399,20.637
2.474,9.285,1.037,7.611
7.133,6.431,4.11,24.31
9.469,-2.546,4.598,45.916
3.861,-2.715,4.485,29.782
16.236,5.333,0.203,51.611
0.697,-8.748,4.6,21.845
17.971,-3.219,1.362,76.113
19.154,2.34,1.311,66.127
5.513,-9.925,3.778,35.348
18.329,2.68,4.716,73.253
9.504,9.136,4.77,32.284
7.73,-4.979,2.15,28.159
3.659,6.051,3.692,13.306
